location_key_x,subregion1_code_x,subregion1_name_x,country_code,country_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,population,population_male,population_female,population_density_x,human_development_index,gdp_usd,gdp_per_capita_usd,latitude,longitude,area_sq_km_x,health_expenditure_usd,out_of_pocket_health_expenditure_usd,year,Rank,Country/Territory,Capital,Continent,2022 Population,2020 Population,2015 Population,2010 Population,2000 Population,1990 Population,1980 Population,1970 Population,area_sq_km_y,population_density_y,Growth Rate,World Population Percentage,location_key_y,subregion1_code_y,subregion1_name_y,nurses_per_1000,physicians_per_1000,gdp_1960,gdp_1961,gdp_1962,gdp_1963,gdp_1964,gdp_1965,gdp_1966,gdp_1967,gdp_1968,gdp_1969,gdp_1970,gdp_1971,gdp_1972,gdp_1973,gdp_1974,gdp_1975,gdp_1976,gdp_1977,gdp_1978,gdp_1979,gdp_1980,gdp_1981,gdp_1982,gdp_1983,gdp_1984,gdp_1985,gdp_1986,gdp_1987,gdp_1988,gdp_1989,gdp_1990,gdp_1991,gdp_1992,gdp_1993,gdp_1994,gdp_1995,gdp_1996,gdp_1997,gdp_1998,gdp_1999,gdp_2000,gdp_2001,gdp_2002,gdp_2003,gdp_2004,gdp_2005,gdp_2006,gdp_2007,gdp_2008,gdp_2009,gdp_2010,gdp_2011,gdp_2012,gdp_2013,gdp_2014,gdp_2015,gdp_2016
BW,,,BW,Botswana,BW,BWA,2351625,1139099,1212526,4.149,0.717,18340510789,7961,-22.2,23.7,581730,465.929321,13.946393,2021,144,Botswana,Gaborone,Africa,2630296,2546402,2305171,2091664,1726985,1341474,938578,592244,582000,4.5194,1.0162,0.03,BW,,,5.403,0.5269,30412308.9864012,32902336.644746,35643207.6265246,38091150.566196,41613969.0506064,45790869.7473126,51464435.1464435,58646443.5146444,66248256.6248257,77356914.0788191,96245114.4611949,126957494.407159,165258093.875959,244129088.027662,306033848.417954,355172413.793103,372010119.595216,451603325.415677,590376720.598889,819877300.613497,1060923829.13021,1073861599.13948,1014907254.54016,1172258182.14969,1240796364.75662,1114764007.14811,1392634771.9653,1965274882.36345,2644536804.11244,3083800684.89751,3790567051.86778,3942792837.35655,4146513722.33019,4160086253.1468,4259330999.03151,4730611067.02258,4847752842.78924,5020214747.45261,4790458837.17078,5484257417.17844,5788329609.15755,5489608299.66445,5438857106.73536,7511582173.37724,8957467706.5354,9931134940.51346,10126940513.3125,10939053367.1521,10945070441.9283,10267133177.7334,12786654365.8738,15682926895.9668,14686278707.4589,14915780538.6724,16259445052.5565,14430573505.3797,15581137273.7728
EC,,,EC,Ecuador,EC,ECU,17643060,8823827,8819233,71.038,0.746,107435665000,6183,-1.0,-78.0,256370,518.029602,204.095932,2021,67,Ecuador,Quito,South America,18001000,17588595,16195902,14989585,12626507,10449837,8135845,6172215,276841,65.0229,1.0114,0.23,EC,,,2.5059,2.0368,1010325138.03016,979108806.848646,958598195.033967,1038389642.31418,1156150890.06133,2387048255.45173,2429309513.80854,2553596091.82258,2582180794.1855,3112166848.3004,2862504169.99893,2754220263.02528,3185987234.84089,3891755551.94138,6599259420.99605,7731677256.80982,9091924304.83477,11026346589.5011,11922502170.6405,14175166007.5774,17881514682.8784,21810767209.3695,19929853574.6095,17152483214.3536,16912515183.2783,17149094589.9827,15314143988.0621,13945431882.2271,13051886552.3377,13890828707.6493,15239278100.3502,16988535267.6338,18094238119.0595,18938717358.6793,22708673336.6683,24432884442.2211,25226393196.5983,28162053026.5133,27981896948.4742,19645272636.3182,18327764882.4412,24468324000.0,28548945000.0,32432859000.0,36591661000.0,41507085000.0,46802044000.0,51007777000.0,61762635000.0,62519686000.0,69555367000.0,79276664000.0,87924544000.0,95129659000.0,101726331000.0,99290381000.0,98613972000.0
GQ,,,GQ,Equatorial Guinea,GQ,GNQ,1402985,780380,622605,50.017,0.591,11026774945,8131,1.5,10.0,28050,301.150055,231.259186,2021,152,Equatorial Guinea,Malabo,Africa,1674908,1596049,1346973,1094524,684977,465549,282509,316955,28051,59.7094,1.0247,0.02,GQ,,,0.5024,0.4017,,,9122751.45318345,10840095.1283649,12712471.3960211,64748333.3333333,69110000.0,72317446.9327193,67514285.7142857,67225714.2857143,66331428.5714286,64946954.756798,65429198.238708,81203226.9138345,94159862.7073691,104295643.388437,103653049.93797,103987520.075827,,,50642880.7737503,36731422.8456914,44294647.733479,44442456.94764,50320914.4065688,62118564.8495425,76407396.7552964,93345847.7270323,100534663.294927,88265974.5843603,112119406.548331,110906032.075075,134707184.355541,136047896.155778,100807001.813926,141853368.256815,232463036.435759,442337849.474377,370687618.717326,621117885.668503,1045998496.43872,1461139022.02954,1806742742.27311,2484745935.09329,4410764338.66733,8217369092.65224,10086528698.8604,13071718758.7373,19749893536.3204,15027795173.2187,16298542027.9965,21329395900.871,22389627294.4179,21942597765.3631,21736500712.9638,12597210657.5048,10684804794.0361
GY,,,GY,Guyana,GY,GUY,786559,395549,391010,3.996,0.654,4280443645,5468,5.733333,-59.316667,214970,230.527283,74.853691,2021,164,Guyana,Georgetown,South America,808726,797202,755031,747932,759051,747116,778176,705261,214969,3.7621,1.0052,0.01,GY,,,1.0398,0.8023,170215248.206265,185848451.262906,194948375.430205,175756868.692761,194773376.888526,213235294.117647,228705882.352941,250176470.588235,229750000.0,249300000.0,267800000.0,282050000.0,285380952.380952,307047619.047619,433954545.454545,494791666.666667,454440000.0,449880000.0,507080000.0,530440000.0,603200000.0,570357107.142857,482000000.0,489333333.333333,437631605.263158,453488372.093023,504651139.534884,354591846.938775,413799990.0,379779389.705882,396582263.291139,336708419.499106,368281378.896883,442273433.179724,540874934.201012,621626785.915493,705406001.424501,749138009.564539,717530683.169567,694754988.258295,712667896.727512,696281471.678532,722460886.371384,741929342.788749,785918769.587635,824880550.343965,1458449453.19951,1740334781.83731,1922598121.23066,2061323853.88576,2273225041.96217,2576024115.57832,2861562265.88301,2987684170.24434,3077643313.70623,3197225181.59806,3502397094.43099
IT,,,IT,Italy,IT,ITA,60359546,29384766,30974780,202.9,0.873,2083196780000,34456,42.5,12.5,301340,2840.130615,667.027588,2021,25,Italy,Rome,Europe,59037474,59500579,60232906,59822450,56966397,56756561,56329482,53324036,301336,195.9191,0.9966,0.74,IT,,,5.7401,3.9774,40385288344.1911,44842760293.1924,50383891898.9911,57710743059.8341,63175417019.0094,67978153850.5191,73654870011.2757,81133120065.4202,87942231678.3505,97085082807.3751,113021271995.043,124261125468.165,144780887782.205,174913182331.451,198906210777.017,226944777283.511,223976030937.427,256746610489.357,314019078256.902,392378584945.234,475682506443.59,429282143246.466,425863251968.504,441580962901.581,436443280912.497,450725816042.998,638273986102.091,803055418882.581,888667913418.625,925598068021.451,1177326294440.85,1242109397533.95,1315806985860.17,1061445225790.57,1095590833693.56,1170787352906.22,1308929351236.04,1239050932241.93,1266309245009.48,1248563179203.07,1141759996314.72,1162317852348.99,1266510634293.24,1569649661399.55,1798314750434.57,1852661982340.5,1942633797516.0,2203053380782.92,2390729163615.06,2185160183384.27,2125058244242.92,2276292404600.52,2072823157059.76,2130491320658.68,2151732868243.21,1832347450961.51,1858913163927.72
KE,,,KE,Kenya,KE,KEN,53771300,26718527,27052773,94.478,0.548,95503088538,1816,0.1,38.0,580370,76.610321,18.419661,2021,27,Kenya,Nairobi,Africa,54027487,51985780,46851488,41517895,30851606,23162269,16187124,11473087,580367,93.0919,1.0193,0.68,KE,,,1.1656,0.1565,791265458.813328,792959472.134266,868111400.008864,926589348.567393,998759333.637333,997919319.974061,1164519673.19064,1232559505.9162,1353295457.51798,1458379415.39403,1603447357.24209,1778391289.20054,2107279157.38336,2502142444.14182,2973309272.02986,3259344935.75357,3474542392.04597,4494378855.32203,5303734882.5116,6234390975.29871,7265315331.62273,6854491453.91471,6431579357.30273,5979198463.82274,6191437070.43467,6135034338.30431,7239126716.93219,7970820530.76691,8355380879.12955,8283114648.38116,8572359162.86876,8151479004.21334,8209129171.73649,5751789915.05363,7148145375.78545,9046326059.98857,12045858436.2399,13115773737.5664,14093998843.7334,12896013576.7324,12705357103.0056,12986007425.8781,13147743910.7241,14904517649.8476,16095337093.8366,18737897744.7948,25825524820.8064,31958195182.2406,35895153327.8497,37021512048.8158,39999659233.7555,41953433591.4101,50412754821.9795,55097343447.5616,61445345999.0765,63767539356.6051,70529014778.3251
ML,,,ML,Mali,ML,MLI,20250834,10145174,10105660,16.596,0.427,17510141171,890,17.0,-4.0,1240190,31.378105,11.017797,2021,59,Mali,Bamako,Africa,22593590,21224040,18112907,15529181,11239101,8945026,7372581,6153587,1240192,18.2178,1.0314,0.28,ML,,,0.3585,0.1286,,,,,,,,275494520.141999,343771964.662167,339913833.096246,359772363.262207,430096738.369216,486617332.387405,563683660.31194,538747268.333356,830710615.179954,939227993.66396,1049838492.55759,1222702356.10946,1595423285.64659,1759690811.60699,1538972158.1782,1333754034.23489,1297765448.50498,1232932008.13719,1392195933.33971,1852163474.54664,2090629722.63611,2169040741.55896,2181821902.43953,2681912030.49384,2724131545.16958,2830673388.82429,2818280876.07615,2081846482.74771,2706425298.36818,2780422212.26995,2697105694.07956,2920358586.75234,3439463140.35541,2954129565.82965,3465305993.47783,3889758023.73699,4703504466.53245,5444474268.42491,6245031690.06808,6899799785.8441,8145694631.88354,9750822511.47988,10181021770.4326,10678749467.4697,12978107560.5982,12442747897.2223,13246412031.4145,14388360064.1162,13100058099.804,14034980333.6615
PT,,,PT,Portugal,PT,PRT,10276617,4852366,5424251,113.0,0.83,240597516000,23364,38.7,-9.183333,92225,1908.033936,525.321472,2021,92,Portugal,Lisbon,Europe,10270865,10298192,10365435,10588401,10300626,10007346,9785252,8683631,92090,111.5307,0.9981,0.13,PT,,,6.9746,5.124,3193200404.37297,3417516639.37596,3668222357.65702,3905734459.72693,4235608177.67102,4687464054.83455,5135387845.97108,5740241165.63433,6354262628.33537,6969025825.62869,8109032775.45328,9202512367.49117,11240223128.2431,15092052330.3352,17514112075.7695,19349512941.1765,20334835543.7666,21441635411.2101,23489924726.2774,26625439344.2623,32899759311.1734,31980423452.7687,30530759334.0061,27242331885.6316,25220451794.029,27118476173.6675,38749715721.7531,48187667852.5687,56352797353.7604,60600056659.0272,78721607509.4923,89242382961.0101,107602689040.689,95019103603.042,99698453260.8696,118133634071.912,122629812841.175,117046198970.84,123981736420.303,127465545493.288,118358489957.619,121545880984.34,134228697534.35,164964195259.594,189187437298.237,197304513120.259,208566948939.907,240169336162.059,262007590449.685,243745748819.116,238303443425.21,244895101712.451,216368178659.447,226073492966.495,229629822121.601,199420256049.689,204836597909.466
TH,,,TH,Thailand,TH,THA,69799978,33966060,35833918,136.624,0.755,543649976165,7808,14.0,101.0,513120,247.03511,27.535921,2021,20,Thailand,Bangkok,Asia,71697030,71475664,70294397,68270489,63066603,55228410,45737753,35791728,513120,139.7276,1.0013,0.9,TH,,,2.7593,0.805,2760747471.88624,3034043574.06071,3308912796.93487,3540403456.55305,3889129942.30769,4388937649.03846,5279230817.30769,5638461442.30769,6081009427.88461,6695336567.30769,7086538437.5,7375000024.03846,8177884552.88461,10838587357.7466,13703000530.0587,14882747955.0328,16985211146.0238,19779315170.0237,24006570178.1561,27371699082.7126,32353440726.8856,34846107862.3673,36589797857.4006,40042826244.2337,41797592963.4424,38900692712.1496,43096746122.4614,50535438696.4094,61667199834.7428,72250877410.3183,85343063965.9182,98234695722.0341,111452869378.467,128889832382.818,146683499005.964,169278552851.272,183035154107.494,150180268649.388,113675706127.265,126668932159.508,126392308497.749,120296746256.631,134300851255.002,152280653543.725,172895476152.592,189318499954.003,221758486880.313,262942650543.771,291383081231.82,281710095724.761,341105009515.333,370818747396.833,397559992407.45,420528737876.717,406521561093.357,399234547137.472,407026127310.434
TZ,,,TZ,Tanzania,TZ,TZA,59734213,29851108,29883105,67.435,0.538,63177068174,1122,-6.307,34.854,947300,33.916576,8.172585,2021,22,Tanzania,Dodoma,Africa,65497748,61704518,52542823,45110527,34463704,26206012,19297659,13618192,945087,69.3034,1.03,0.82,TZ,,,0.5843,0.014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5100405772.46327,4420168102.39306,4258743262.82876,4956588278.56144,4601413263.52894,4257702196.53864,4510846967.8742,5255221424.80962,6496195450.61034,7683852496.84499,9345174219.07253,9697847263.63196,10185786382.8283,10383560602.8537,10805599892.7355,11659129888.8021,12825801580.9281,16929976600.142,18610460326.5437,21501741757.484,27368386358.131,28573777052.4542,31407908612.0943,33878631649.4157,39087748240.4403,44333456244.744,48197218326.7942,45628320606.0487,47340071107.343
