,country_name,new_confirmed
0,Czech Republic,13029
1,Finland,6952
2,Bulgaria,130
3,Switzerland,954
4,Cyprus,235
5,Japan,55926
6,Slovenia,287
7,Israel,862
8,Kuwait,92
9,Argentina,5027
10,New Zealand,2
11,Philippines,5157
12,Taiwan,74
13,United Kingdom,86325
14,United Kingdom,35765
15,Israel,126
16,Iraq,2964
17,Serbia,834
18,Bolivia,2517
19,Ireland,862
20,Ireland,417
21,Liechtenstein,10
22,Lithuania,302
23,Morocco,493
24,India,39097
25,Taiwan,16
26,Indonesia,163
27,Israel,1331
28,India,15102
29,Saudi Arabia,53
30,Belgium,2379
31,United Kingdom,31803
32,Greece,30009
33,Ivory Coast,14
34,Georgia,1653
35,Italy,197552
36,Japan,33139
37,Mexico,18049
38,Norway,20821
39,Argentina,3915
40,Austria,7752
41,Belgium,6896
42,Canada,0
43,Canada,3
44,Mongolia,922
45,Maldives,98
46,Norway,552
47,Slovakia,750
48,Belgium,11229
49,Lithuania,7560
50,Norway,347
51,Slovenia,1086
52,Estonia,1960
53,Denmark,36120
54,Ireland,1114
55,Japan,40100
56,Czech Republic,3292
57,Bahrain,811
58,Saint Kitts and Nevis,29
59,Liechtenstein,37
60,Liechtenstein,43
61,Latvia,638
62,Morocco,360
63,Ecuador,11027
64,Zimbabwe,956
65,New Zealand,4
66,United Arab Emirates,632
67,Canada,0
68,Ecuador,1568
69,Israel,992
70,Liechtenstein,35
71,Latvia,198
72,South Africa,947
73,Suriname,24
74,Australia,108
75,Israel,11
76,Jamaica,0
77,South Korea,2103
78,Canada,36
79,Colombia,9434
80,Maldives,149
81,Saint Vincent and the Grenadines,0
82,Australia,31
83,United Kingdom,2747
84,Italy,3212
85,Lithuania,435
86,Belgium,1875
87,Iceland,2601
88,Japan,60975
89,Colombia,1697
90,Finland,7472
91,France,3006
92,New Zealand,3
93,Taiwan,4
94,Albania,99
95,Australia,1257
96,Denmark,2601
97,Japan,1696
98,Liechtenstein,2
99,Tunisia,2379
100,Bolivia,1851
101,Ecuador,2751
102,Greece,36246
103,Cambodia,356
104,Trinidad and Tobago,359
105,Argentina,8426
106,Argentina,13374
107,Pakistan,98
108,Argentina,20550
109,Austria,3378
110,Greece,2843
111,Sri Lanka,1484
112,Ecuador,584
113,United Kingdom,111758
114,Iceland,4
115,Belgium,9055
116,Switzerland,1846
117,United Kingdom,32231
118,Malta,3
119,New Zealand,1
120,Czech Republic,220
121,Estonia,495
122,Guatemala,322
123,Latvia,7754
124,Norway,160
125,Norway,294
126,Ukraine,24747
127,Uruguay,3088
128,New Zealand,5
129,United Arab Emirates,70
130,Austria,103
131,Switzerland,2733
132,Israel,45098
133,Liechtenstein,2
134,Lithuania,1432
135,Rwanda,380
136,Slovenia,1464
137,Turkey,59187
