Czech Republic	6973727	10649800
Finland	4515765	5517919
Bulgaria	1008573	7000039
Switzerland	6039338	8544527
Cyprus	659912	875899
Japan	103731588	126476458
Slovenia	1265718	2080908
Israel	6713267	8655541
Kuwait	3393521	4270563
Argentina	41160290	44938712
New Zealand	4276681	4822233
Philippines	56110301	100979303
Taiwan	21153897	0
United Kingdom	53407449	66647112
Iraq	9589248	40222503
Serbia	3353655	6963764
Bolivia	7222799	11673029
Ireland	4091004	0
Liechtenstein	26497	0
Lithuania	1952217	2794184
Morocco	24870225	36910558
India	1014753552	1380004385
Indonesia	194559612	273523621
Saudi Arabia	25960748	34813867
Belgium	8819880	11455519
Greece	7909248	10724599
Ivory Coast	6874956	0
Georgia	1610614	0
Italy	50834240	60359546
Mexico	88302201	110991953
Norway	4341744	5328212
Austria	6822909	8858775
Canada	32732684	37742157
Mongolia	2271836	3278292
Maldives	398348	540542
Slovakia	2822262	0
Estonia	866529	1324820
Denmark	4815163	5806081
Bahrain	1231321	1701583
Saint Kitts and Nevis	27984	0
Latvia	1345927	1919968
Ecuador	15182093	17643060
Zimbabwe	6187713	14862927
United Arab Emirates	9991089	9890400
South Africa	21963613	59308690
Suriname	267084	586634
Australia	41514738	25499881
Jamaica	800803	2961161
South Korea	45074582	0
Colombia	42100794	50882884
Saint Vincent and the Grenadines	35440	0
Iceland	309770	356991
France	54485873	67012883
Albania	1325464	0
Tunisia	7163868	11818618
Cambodia	14750100	0
Trinidad and Tobago	750869	1399491
Pakistan	139267049	220892331
Sri Lanka	17072957	21413250
Malta	476740	493559
Guatemala	7301166	17915567
Ukraine	15420205	0
Uruguay	2978360	3473727
Rwanda	9076533	12952209
Turkey	57843685	82003882
Brazil	160678223	212559409
Bangladesh	129249402	164689383
Malaysia	28097849	32655400
Sweden	7824537	10230185
Poland	22727148	37972812
Paraguay	3859037	7132530
Costa Rica	4437629	5094114
El Salvador	4609638	6486201
Hungary	6407918	9772756
Netherlands	12764623	17282163
United States of America	259495882	0
Qatar	2643389	2881060
Luxembourg	103567	613894
Kazakhstan	2247776	0
Fiji	593442	896444
Thailand	56551310	69799978
Panama	3479337	4314768
Senegal	1438609	16743930
Togo	1549440	8278736
Azerbaijan	5313384	0
Namibia	405254	2540916
Uganda	10669724	45741000
Russia	76940496	0
Macedonia	263083	0
Iran	63221401	0
Myanmar	24064085	54409794
Bhutan	596419	771612
Zambia	2487149	18383956
Portugal	9731590	10276617
Croatia	2308467	4076246
Laos	5782266	0
Nepal	21760650	29136808
Vietnam	80068494	97338583
Lebanon	602419	6825442
Armenia	1129669	0
Dominican Republic	7214928	10847904
Barbados	160577	287371
Ghana	865422	31072945
Jordan	4630227	10203140
Cuba	2869501	11326616
Kenya	6572987	53771300
Malawi	1517232	19129955
Equatorial Guinea	242220	1402985
Curaçao	108068	0
Mozambique	13251662	31255435
Bahamas	165385	0
Bermuda	48554	0
Bosnia and Herzegovina	734195	3280815
Haiti	157571	11402533
Dominica	32403	71991
Belarus	2759758	9449321
Aruba	67610	0
Saint Lucia	57888	0
East Timor	348548	0
Belize	96569	397621
Faroe Islands	41607	0
Marshall Islands	16062	0
Djibouti	140287	0
Gabon	100884	2225728
Burkina Faso	2117997	20903278
South Sudan	296056	0
