,country,vaccinated,cumulative_vaccinated
184079,Czech Republic,3605,17977
184080,Finland,38135,4431379
184081,Bulgaria,101,27957
184082,Switzerland,4260,5712134
184083,Cyprus,1849,575773
184084,Japan,19972,102810643
184085,Slovenia,1629,342547
184086,Israel,7202,6448788
184087,Kuwait,4669,3325463
184088,Argentina,1146,17624812
184089,New Zealand,1160,44049
184090,Philippines,160713,9208070
184091,Taiwan,602497,1587581
184092,United Kingdom,20878,52072754
184093,United Kingdom,25747,49715228
184094,Israel,5472,5409867
184095,Iraq,381517,4585095
184096,Serbia,23680,2140266
184097,Bolivia,36688,1112812
184098,Ireland,8828,180665
184099,Ireland,27964,884373
184100,Liechtenstein,3,5
184101,Lithuania,0,1950953
184102,Morocco,54261,9810963
184103,India,3685939,333945151
184104,Taiwan,16750,18355174
184105,Indonesia,579619,146489638
184106,Israel,6980,6472190
184107,India,350547,962967313
184108,Saudi Arabia,5975,24757408
184109,Belgium,129,8819085
184110,United Kingdom,21795,48270113
184111,Greece,9923,7469369
184112,Ivory Coast,50059,2314075
184113,Georgia,4198,956417
184114,Italy,77466,47063987
184115,Japan,10987,101451504
184116,Mexico,285328,55928566
184117,Norway,681,4308157
184118,Argentina,3,123470
184119,Austria,13101,6023181
184120,Belgium,397,8798630
184121,Canada,110862,29697744
184122,Canada,1095278,24407817
184123,Mongolia,247,2261082
184124,Maldives,95,321350
184125,Norway,189,4341543
184126,Slovakia,11790,914995
184127,Belgium,6842,8540206
184128,Lithuania,9,1944879
184129,Norway,5166,1668520
184130,Slovenia,275,1248189
188927,Estonia,4002,113643
188928,Denmark,1089,4801228
188929,Ireland,29187,3295229
188930,Japan,10806,103353160
188931,Czech Republic,47832,1565436
188932,Bahrain,3961,1030627
188933,Saint Kitts and Nevis,19,24208
188934,Liechtenstein,0,26492
188935,Liechtenstein,2,26148
188936,Latvia,4339,113273
188937,Morocco,102321,5334087
188938,Ecuador,6957,14500445
188939,Zimbabwe,11861,4124378
188940,New Zealand,6044,100508
188941,United Arab Emirates,10115,8931243
188942,Canada,46440,496457
188943,Ecuador,383195,6569164
188944,Israel,13168,5197831
188945,Liechtenstein,0,26473
188946,Latvia,35,1345406
188947,South Africa,440666,13907243
188948,Suriname,293,266637
188949,Australia,77253,6980847
188950,Israel,1508,5483942
188951,Jamaica,992,760643
188952,South Korea,63480,41207306
188953,Canada,9095,32420521
188954,Colombia,48018,1359247
188955,Maldives,103,394049
188956,Saint Vincent and the Grenadines,28,35440
188957,Australia,122532,5868407
188958,United Kingdom,107420,31425682
188959,Italy,74271,43695669
188960,Lithuania,10290,202769
188961,Belgium,30530,7852433
188962,Iceland,59,309168
188963,Japan,7655,101870642
188964,Colombia,187808,30087518
188965,Finland,20394,4457240
188966,France,142037,35196535
188967,New Zealand,31405,1543553
188968,Taiwan,45125,13711680
188969,Albania,5114,683052
188970,Australia,149972,12140137
188971,Denmark,1535,4445140
188972,Japan,696879,24223989
188973,Liechtenstein,0,12779
188974,Tunisia,23913,1079490
188975,Bolivia,75994,2138120
188976,Ecuador,1784,14683837
188977,Greece,11818,7481376
188978,Cambodia,15340,14563512
188979,Trinidad and Tobago,254,733378
188980,Argentina,2518,99853
188981,Argentina,7156,82818
188982,Pakistan,72374,135998848
188983,Argentina,19682,3689545
188984,Austria,22429,1259722
188985,Greece,16475,5672206
188986,Sri Lanka,201054,4192446
188987,Ecuador,7338,13860258
188988,United Kingdom,16949,52168592
188989,Iceland,2987,187606
188990,Belgium,138,8810583
188991,Switzerland,211,6031787
188992,United Kingdom,60885,47577390
188993,Malta,1913,341941
188994,New Zealand,10956,383762
188995,Czech Republic,11392,5820426
188996,Estonia,1516,21834
188997,Guatemala,7241,6472688
188998,Latvia,70,1341941
188999,Norway,145,241795
189000,Norway,6434,118420
189001,Ukraine,141347,11986075
189002,Uruguay,37585,636320
189003,New Zealand,6466,83292
189004,United Arab Emirates,3956,9856730
189005,Austria,17360,4275480
189006,Switzerland,156,6030648
189007,Israel,2555,6678341
189008,Liechtenstein,0,20769
189009,Lithuania,1610,1909676
189010,Rwanda,271325,951795
189011,Slovenia,1139,126316
189012,Turkey,279559,11388406
189013,Israel,55,6711999
189014,Malta,0,476285
189015,Argentina,13683,17362450
189016,Sri Lanka,16132,15874038
189017,Zimbabwe,1375,688694
189018,Uruguay,832,2727787
189019,Brazil,778859,46007036
189020,France,28183,53935246
189021,Denmark,51,4811971
189022,Lithuania,121,1737321
189023,Canada,38685,29240321
189024,Ireland,82,4068840
189025,Japan,19335,102107398
189026,France,4154,52571868
189027,Albania,3094,988414
189028,Bangladesh,89724,126123736
189029,Lithuania,6167,1623939
189030,Malaysia,1166,28055498
189031,Slovakia,968,1448
189032,United Arab Emirates,29397,8189097
189033,Indonesia,222401,23265773
189034,Norway,479,724101
189035,Estonia,41,866235
189036,Bangladesh,6625123,31502515
189037,Cyprus,4296,19618
189038,Latvia,618,1321214
189039,Sweden,387251,5664737
189040,Italy,31282,48337199
189041,Latvia,3248,1270121
189042,Malta,1286,52862
189043,Malta,499,429255
189044,Norway,1967,4212497
189045,Poland,5903,22665603
189046,Saudi Arabia,108145,21437649
189047,Guatemala,6019,6248164
189048,Ireland,16080,305850
189049,Latvia,1734,108934
189050,Paraguay,23309,531792
189051,Italy,113960,36518818
189052,Kuwait,3542,3357463
189053,Saudi Arabia,8012,25742662
189054,Trinidad and Tobago,70,750866
189055,Costa Rica,4453,29257
189056,Ireland,11909,3626467
189057,Malaysia,26512,253411
189058,Taiwan,19556,18949968
189059,Albania,6522,885981
189060,Indonesia,775887,112271928
189061,Norway,11686,96384
189062,El Salvador,3337,4569063
189063,South Africa,13292,20987044
189064,Austria,26343,1847653
189065,Belgium,8258,372642
189066,Hungary,55854,3419450
189067,Malta,33,423849
189068,South Korea,383422,18096737
189069,India,4243617,437698591
189070,Malaysia,3408,27569706
189071,Argentina,22368,1700229
189072,Ireland,4944,3756060
189073,Italy,121707,2791118
189074,Japan,102852,99153808
189075,Belgium,280,8266965
189076,Czech Republic,60,6956933
189077,Czech Republic,6521,6345771
189078,Estonia,1842,705752
189079,United Arab Emirates,19961,9128792
189080,Maldives,37,397248
189081,Netherlands,2374,12738307
189082,Estonia,3066,629587
189083,United States of America,41326,259452253
189084,Belgium,3177,8196262
189085,Costa Rica,12243,3965650
189086,Ecuador,58225,12925941
189087,Ukraine,60970,5032720
