,country,confirmed,deceased
184079,Czech Republic,13029,152
184080,Finland,6952,22
184081,Bulgaria,130,17
184082,Switzerland,954,4
184083,Cyprus,235,1
184084,Japan,55926,60
184085,Slovenia,287,7
184086,Israel,862,1
184087,Kuwait,92,0
184088,Argentina,5027,3
184089,New Zealand,2,0
184090,Philippines,5157,100
184091,Taiwan,74,11
184092,United Kingdom,86325,281
184093,United Kingdom,35765,152
184094,Israel,126,6
184095,Iraq,2964,46
184096,Serbia,834,19
184097,Bolivia,2517,59
184098,Ireland,862,29
184099,Ireland,417,3
184100,Liechtenstein,10,0
184101,Lithuania,302,3
184102,Morocco,493,5
184103,India,39097,546
184104,Taiwan,16,0
184105,Indonesia,163,7
184106,Israel,1331,2
184107,India,15102,278
184108,Saudi Arabia,53,1
184109,Belgium,2379,7
184110,United Kingdom,31803,157
184111,Greece,30009,59
184112,Ivory Coast,14,1
184113,Georgia,1653,47
184114,Italy,197552,184
184115,Japan,33139,17
184116,Mexico,18049,769
184117,Norway,20821,1
184118,Argentina,3915,148
184119,Austria,7752,35
184120,Belgium,6896,21
184121,Canada,0,215
184122,Canada,3,184
184123,Mongolia,922,2
184124,Maldives,98,0
184125,Norway,552,0
184126,Slovakia,750,73
184127,Belgium,11229,25
184128,Lithuania,7560,36
184129,Norway,347,0
184130,Slovenia,1086,6
188927,Estonia,1960,9
188928,Denmark,36120,21
188929,Ireland,1114,3
188930,Japan,40100,28
188931,Czech Republic,3292,86
188932,Bahrain,811,10
188933,Saint Kitts and Nevis,29,0
188934,Liechtenstein,37,0
188935,Liechtenstein,43,0
188936,Latvia,638,14
188937,Morocco,360,6
188938,Ecuador,11027,8
188939,Zimbabwe,956,13
188940,New Zealand,4,0
188941,United Arab Emirates,632,2
188942,Canada,0,0
188943,Ecuador,1568,34
188944,Israel,992,14
188945,Liechtenstein,35,0
188946,Latvia,198,2
188947,South Africa,947,40
188948,Suriname,24,0
188949,Australia,108,0
188950,Israel,11,1
188951,Jamaica,0,0
188952,South Korea,2103,13
188953,Canada,36,0
188954,Colombia,9434,193
188955,Maldives,149,0
188956,Saint Vincent and the Grenadines,0,0
188957,Australia,31,0
188958,United Kingdom,2747,32
188959,Italy,3212,63
188960,Lithuania,435,11
188961,Belgium,1875,3
188962,Iceland,2601,2
188963,Japan,60975,258
188964,Colombia,1697,62
188965,Finland,7472,15
188966,France,3006,17
188967,New Zealand,3,0
188968,Taiwan,4,0
188969,Albania,99,0
188970,Australia,1257,4
188971,Denmark,2601,4
188972,Japan,1696,82
188973,Liechtenstein,2,0
188974,Tunisia,2379,71
188975,Bolivia,1851,28
188976,Ecuador,2751,9
188977,Greece,36246,80
188978,Cambodia,356,0
188979,Trinidad and Tobago,359,9
188980,Argentina,8426,174
188981,Argentina,13374,155
188982,Pakistan,98,1
188983,Argentina,20550,466
188984,Austria,3378,38
188985,Greece,2843,13
188986,Sri Lanka,1484,50
188987,Ecuador,584,37
188988,United Kingdom,111758,281
188989,Iceland,4,0
188990,Belgium,9055,17
188991,Switzerland,1846,3
188992,United Kingdom,32231,118
188993,Malta,3,0
188994,New Zealand,1,0
188995,Czech Republic,220,1
188996,Estonia,495,10
188997,Guatemala,322,4
188998,Latvia,7754,25
188999,Norway,160,0
189000,Norway,294,1
189001,Ukraine,24747,652
189002,Uruguay,3088,21
189003,New Zealand,5,0
189004,United Arab Emirates,70,0
189005,Austria,103,4
189006,Switzerland,2733,2
189007,Israel,45098,19
189008,Liechtenstein,2,0
189009,Lithuania,1432,18
189010,Rwanda,380,9
189011,Slovenia,1464,9
189012,Turkey,59187,273
189013,Israel,2471,3
189014,Malta,64,0
189015,Argentina,15444,164
189016,Sri Lanka,720,18
189017,Zimbabwe,83,6
189018,Uruguay,195,0
189019,Brazil,49768,2371
189020,France,400851,233
189021,Denmark,1634,13
189022,Lithuania,1302,17
189023,Canada,0,0
189024,Ireland,3298,10
189025,Japan,21627,108
189026,France,42252,29
189027,Albania,566,6
189028,Bangladesh,239,1
189029,Lithuania,767,8
189030,Malaysia,2425,4
189031,Slovakia,2137,60
189032,United Arab Emirates,1089,3
189033,Indonesia,14536,294
189034,Norway,653,0
189035,Estonia,174,0
189036,Bangladesh,847,21
189037,Cyprus,160,2
189038,Latvia,864,3
189039,Sweden,0,1
189040,Italy,133142,427
189041,Latvia,488,16
189042,Malta,233,2
189043,Malta,8,1
189044,Norway,645,0
189045,Poland,856,24
189046,Saudi Arabia,360,9
189047,Guatemala,61,8
189048,Ireland,729,16
189049,Latvia,630,6
189050,Paraguay,2046,120
189051,Italy,5140,5
189052,Kuwait,5176,1
189053,Saudi Arabia,1726,2
189054,Trinidad and Tobago,101,5
189055,Costa Rica,363,9
189056,Ireland,1818,1
189057,Malaysia,1647,9
189058,Taiwan,112,0
189059,Albania,977,4
189060,Indonesia,802,23
189061,Norway,344,6
189062,El Salvador,8578,3
189063,South Africa,2031,3
189064,Austria,2075,30
189065,Belgium,2108,42
189066,Hungary,3427,207
189067,Malta,17,0
189068,South Korea,1671,2
189069,India,36571,540
189070,Malaysia,12017,33
189071,Argentina,9129,185
189072,Ireland,1407,10
189073,Italy,20499,253
189074,Japan,299,9
189075,Belgium,679,5
189076,Czech Republic,2252,22
189077,Czech Republic,5744,52
189078,Estonia,101,4
189079,United Arab Emirates,318,2
189080,Maldives,2137,0
189081,Netherlands,32898,6
189082,Estonia,220,0
189083,United States of America,98452,297
189084,Belgium,2426,5
189085,Costa Rica,2200,1
189086,Ecuador,0,0
189087,Ukraine,1600,26
189088,Austria,1408,50
189089,Canada,0,0
189090,Cyprus,117,0
189091,Georgia,1530,23
189092,France,37218,34
189093,United Kingdom,25766,206
189094,Israel,56,2
189095,Qatar,233,0
189096,Slovenia,1661,6
189097,Argentina,7310,146
189098,United States of America,165027,1557
189099,Estonia,127,0
189100,Switzerland,2375,10
189101,Malta,192,3
189102,Malaysia,27179,43
189103,United States of America,47961,1074
189104,Cyprus,144,0
189105,Japan,3459,22
189106,Lithuania,576,10
189107,Luxembourg,236,0
189108,Pakistan,89,1
189109,Slovakia,44,0
189110,South Africa,3778,15
189111,Ireland,4043,6
189112,Israel,4459,1
189113,Italy,84700,63
189114,Kazakhstan,1280,0
189115,Lithuania,567,17
189116,Malta,87,0
189117,Slovenia,3393,8
189118,Slovakia,2581,84
189119,Slovakia,4021,88
189120,United Arab Emirates,321,3
189121,Fiji,647,1
189122,Czech Republic,557,3
189123,Taiwan,66154,109
189124,Israel,9244,28
189125,Italy,13452,232
189126,Pakistan,8183,30
189127,Thailand,8859,47
189128,Thailand,7133,12
189129,United Kingdom,36906,83
189130,South Korea,3901,39
189131,Liechtenstein,1,0
189132,Australia,1146,12
189133,Bulgaria,41,2
189134,Denmark,1243,2
189135,Ireland,5325,19
189136,Panama,523,10
189137,Estonia,547,10
189138,United States of America,202549,2015
189139,Belgium,30900,46
189140,Indonesia,6731,626
189141,Ireland,297,5
189142,Ireland,604,6
189143,Senegal,27,1
189144,Uruguay,123,1
189145,Luxembourg,178,6
189146,Togo,12,1
189147,Belgium,2007,9
189148,Canada,0,0
189149,Costa Rica,176,6
189150,Guatemala,1466,24
189151,Mexico,868,136
189152,Argentina,13011,455
189153,Australia,32718,54
189154,India,3275,55
189155,Italy,58861,133
189156,Tunisia,2091,65
189157,Georgia,865,26
189158,Ireland,1217,1
189159,Israel,6002,21
189160,Luxembourg,165,5
189161,India,211298,3847
189162,Bolivia,1835,41
189163,Indonesia,55209,107
189164,Kazakhstan,2741,188
189165,Liechtenstein,36,0
189166,Sri Lanka,7,0
189167,Saudi Arabia,42,2
189168,France,3778,5
189169,India,92596,2219
189170,Bulgaria,631,56
189171,Norway,331,0
189172,Uruguay,149,0
189173,Mexico,906,115
189174,France,3760,311
189175,Estonia,3325,0
189176,Denmark,922,1
189177,Maldives,601,0
189178,Bolivia,2376,21
189179,Hungary,5481,252
189180,Indonesia,232,12
189181,Ireland,972,18
189182,Iceland,4,0
189183,Cambodia,690,5
189184,Tunisia,1729,119
189185,South Africa,16301,151
189186,Azerbaijan,377,14
189187,Canada,0,0
189188,India,861,6
189189,Trinidad and Tobago,235,8
189190,Australia,11,0
189191,Bolivia,270,0
189192,Canada,0,0
189193,Indonesia,5436,568
189194,Italy,28632,120
189195,Japan,1657,22
189196,Liechtenstein,7,0
189197,France,1986,33
189198,Australia,30596,38
189199,Georgia,821,31
189200,Norway,2026,1
189201,Paraguay,323,30
189202,Trinidad and Tobago,132,6
189203,South Africa,2191,37
189204,Bolivia,142,0
189205,Israel,7464,57
189206,Israel,4,0
189207,Namibia,160,5
189208,France,6794,60
189209,Liechtenstein,10,0
189210,Latvia,482,12
189211,Thailand,24134,115
189212,Albania,549,5
189213,Israel,3489,37
189214,Liechtenstein,20,0
189215,Sri Lanka,1119,20
189216,Netherlands,692,1
189217,Ukraine,11932,203
189218,Belgium,1490,19
189219,Belgium,22421,36
189220,Denmark,716,3
189221,Greece,512,14
189222,South Korea,445,2
189223,Malta,34,1
189224,Uganda,205,6
189225,Guatemala,285,39
189226,Indonesia,1167,52
189227,Malta,313,3
189228,Russia,14185,379
189229,France,2197,57
189230,France,3241,75
189231,Ecuador,646,14
189232,Ecuador,308,4
189233,United Kingdom,43473,1233
189234,Iceland,7,0
189235,Latvia,887,21
189236,Estonia,669,4
189237,Bangladesh,7248,172
189238,Latvia,625,10
189239,Panama,614,6
189240,Thailand,58,0
189241,United Kingdom,20142,258
189242,Israel,1436,26
189243,India,3377,60
189244,Italy,10404,373
189245,Senegal,121,3
189246,Thailand,3618,38
189247,Zimbabwe,416,13
189248,Ecuador,240,1
189249,Israel,1087,12
189250,Japan,50829,130
189251,Slovakia,4380,18
189252,Thailand,2899,22
189253,South Africa,20713,35
189254,Canada,0,0
189255,Indonesia,5504,163
189256,Israel,118,0
189257,Norway,2495,0
189258,Trinidad and Tobago,355,7
189259,United States of America,50912,424
189260,Latvia,178,2
189261,Tunisia,1512,66
189262,Taiwan,18,1
189263,United States of America,63246,1817
189264,Ireland,3595,8
189265,Latvia,983,17
189266,Macedonia,28,0
189267,Georgia,1365,32
189268,Norway,7188,0
189269,Paraguay,1201,111
189270,Slovenia,293,7
189271,Czech Republic,209,0
189272,Liechtenstein,12,0
189273,Brazil,78926,2408
189274,Indonesia,21342,409
189275,Italy,40757,105
189276,Mexico,1150,86
189277,Serbia,298,2
189278,Slovakia,1531,53
189279,Tunisia,2123,84
189280,United States of America,13272,307
189281,United Arab Emirates,1542,4
189282,Bolivia,788,78
189283,Ireland,5622,14
189284,South Korea,109823,45
189285,Slovenia,847,3
189286,Tunisia,2134,87
189287,Bolivia,0,0
189288,Greece,2968,3
189289,Italy,16806,72
189290,Ireland,475,1
189291,South Korea,447,3
189292,Mexico,4866,264
189293,Estonia,1386,4
189294,Malaysia,27808,36
189295,India,326098,3890
189296,United Arab Emirates,1066,4
189297,Liechtenstein,144,0
189298,Thailand,22984,74
189299,Czech Republic,5605,115
189300,Bolivia,1313,29
189301,Ireland,373,1
189302,Israel,41444,9
189303,Norway,310,9
189304,Israel,509,3
189305,Sweden,64,4
189306,Trinidad and Tobago,291,2
189307,Russia,23218,679
189308,Bolivia,1857,27
189309,Ecuador,1633,30
189310,Ireland,2773,4
189311,Slovakia,1242,14
189312,Denmark,1190,0
189313,Mexico,41304,533
189314,Trinidad and Tobago,266,8
189315,Zimbabwe,37,1
189316,Argentina,25405,512
189317,Guatemala,324,7
189318,South Korea,54617,21
189319,Lithuania,184,1
189320,Russia,17594,548
189321,Saudi Arabia,53,3
189322,Lithuania,948,20
189323,Lithuania,3740,12
189324,Latvia,1359,4
189325,Morocco,5043,69
189326,Norway,4628,0
189327,Bahrain,5808,1
189328,Liechtenstein,17,0
189329,Togo,7,0
189330,Uruguay,11668,29
189331,Uruguay,354,2
189332,Georgia,6847,36
189333,Ireland,893,9
189334,Tunisia,1006,32
189335,Trinidad and Tobago,378,2
189336,Czech Republic,16996,53
189337,Malaysia,1451,7
189338,Czech Republic,4429,26
189339,Thailand,1390,3
189340,United Arab Emirates,115,0
189341,Bangladesh,235,2
189342,Greece,6356,43
189343,Slovakia,1427,17
189344,Thailand,8452,57
189345,Ecuador,4028,29
189346,Brazil,65163,2029
189347,Thailand,5406,22
189348,Ecuador,1219,73
189349,Poland,1200,39
189350,Slovakia,29,1
189351,Japan,3093,8
189352,Lithuania,2426,21
189353,Slovenia,2125,14
189354,Turkey,27259,203
189355,Uruguay,267,0
189356,Iceland,0,0
189357,Italy,26693,152
189358,Pakistan,6357,17
189359,Estonia,418,7
189360,Malaysia,2195,8
189361,Denmark,744,8
189362,Indonesia,213,10
189363,Ireland,188,3
189364,Liechtenstein,14,0
189365,Paraguay,561,48
189366,Russia,8709,386
189367,Australia,19,0
189368,Canada,0,877
189369,Costa Rica,1500,21
189370,Czech Republic,5983,104
189371,Iran,9312,226
189372,Slovakia,328,39
189373,Estonia,2025,8
189374,Argentina,20784,421
189375,Canada,42,0
189376,Zimbabwe,2683,55
189377,Argentina,5868,8
189378,Argentina,1266,5
189379,Colombia,1684,58
189380,France,38045,296
189381,Canada,0,0
189382,Latvia,135,6
189383,Mongolia,7720,15
189384,South Africa,1631,56
189385,South Africa,2073,46
189386,Australia,25865,37
189387,Belgium,4387,3
189388,Bolivia,1442,16
189389,Morocco,625,12
189390,Myanmar,1282,56
189391,Estonia,137,0
189392,Finland,0,29
189393,India,35871,172
189394,Australia,685,3
189395,Latvia,368,0
189396,Latvia,711,7
189397,Namibia,1567,45
189398,Bhutan,5,0
189399,Guatemala,4243,70
189400,South Korea,7435,73
189401,Liechtenstein,2,0
189402,Malta,762,2
189403,Mexico,6527,150
189404,Qatar,205,0
189405,Slovenia,64,0
189406,Malaysia,23564,233
189407,Denmark,6690,9
189408,Italy,32573,119
189409,Thailand,13816,120
189410,South Africa,1976,24
189411,Argentina,1748,102
189412,Colombia,17128,509
189413,Georgia,2922,36
189414,Mexico,3980,212
189415,Zambia,2781,70
189416,Zimbabwe,27,0
189417,Australia,2186,12
189418,Thailand,9331,84
189419,Argentina,16317,287
189420,Bolivia,1125,17
189421,Bolivia,10867,62
189422,Israel,4049,15
189423,Japan,2376,12
189424,Liechtenstein,49,0
189425,Portugal,14592,264
189426,Thailand,4000,22
189427,Uruguay,2257,62
189428,Guatemala,1042,1
189429,Croatia,371,19
189430,Hungary,4469,72
189431,Ireland,4843,24
189432,Turkey,7945,91
189433,Brazil,51546,1288
189434,Czech Republic,242,0
189435,Australia,14,0
189436,Indonesia,297,11
189437,Liechtenstein,1,0
189438,Slovenia,1527,5
189439,Cyprus,420,4
189440,Belgium,2217,4
189441,Italy,149512,248
189442,Saint Vincent and the Grenadines,52,2
189443,Bangladesh,8483,132
189444,India,1938,67
189445,Italy,94165,60
189446,Latvia,419,5
189447,Malta,109,0
189448,Slovenia,135,1
189449,Thailand,18885,29
189450,Belgium,1216,7
189451,Pakistan,2928,68
189452,El Salvador,0,14
189453,Argentina,26606,487
189454,Bulgaria,303,38
189455,Latvia,3953,4
189456,Slovenia,1282,13
189457,Laos,14,0
189458,Malta,285,4
189459,Namibia,1726,28
189460,Slovakia,2732,105
189461,India,38628,617
189462,Taiwan,85245,267
189463,Switzerland,702,6
189464,Latvia,75,0
189465,Czech Republic,109,2
189466,New Zealand,90,0
189467,Austria,1801,4
189468,Switzerland,320,0
189469,Ecuador,96,0
189470,Zimbabwe,2705,62
189471,India,16738,138
189472,Bolivia,60,0
189473,Mexico,1272,125
189474,Saudi Arabia,28,1
189475,Saudi Arabia,88,7
189476,Slovakia,467,37
189477,El Salvador,0,3
189478,Japan,264,8
189479,Liechtenstein,13,0
189480,Namibia,218,2
189481,Norway,668,0
189482,Australia,8,0
189483,Denmark,311,2
189484,Iceland,150,0
189485,Thailand,25615,40
189486,Uruguay,1363,1
189487,Taiwan,21,0
189488,Switzerland,23601,9
189489,Greece,5944,69
189490,Liechtenstein,5,0
189491,Thailand,20052,129
189492,South Africa,862,31
189493,Mexico,5331,192
189494,Malaysia,1354,4
189495,Austria,29605,7
189496,Canada,0,0
189497,Italy,21267,460
189498,Serbia,4826,39
189499,Norway,495,10
189500,Rwanda,62,0
189501,Saudi Arabia,64,2
189502,Switzerland,902,2
189503,Slovenia,959,14
189504,Denmark,3878,10
189505,Ecuador,203,0
189506,Japan,161,1
189507,Mexico,773,126
189508,Paraguay,3031,98
189509,Croatia,1396,46
189510,Latvia,632,4
189511,Turkey,7523,178
189512,India,22431,318
189513,Bulgaria,5176,155
189514,Denmark,492,2
189515,Ecuador,2837,9
189516,Norway,106,0
189517,Slovakia,488,41
189518,Bangladesh,860,23
189519,Maldives,298,0
189520,Thailand,12888,126
189521,Uruguay,2659,51
189522,Czech Republic,176,1
189523,Brazil,65998,1541
189524,New Zealand,77,0
189525,Denmark,980,1
189526,Guatemala,207,15
189527,Israel,2024,6
189528,Iran,17564,379
189529,Belgium,11025,23
189530,Ireland,2307,6
189531,Italy,1400,52
189532,Liechtenstein,1,0
189533,Malta,49,1
189534,New Zealand,18,0
189535,New Zealand,24,1
189536,Georgia,4314,35
189537,South Africa,1436,16
189538,Australia,63188,27
189539,Ireland,227,0
189540,Mexico,7570,655
189541,Thailand,20902,301
189542,Uruguay,159,0
189543,Thailand,3175,29
189544,Guatemala,4025,18
189545,Latvia,71,0
189546,Saudi Arabia,2227,1
189547,Brazil,73513,3459
189548,Bahrain,288,1
189549,Ireland,3494,4
189550,Slovenia,157,1
189551,Suriname,123,6
189552,Bangladesh,289,5
189553,Indonesia,4723,95
189554,Japan,15435,13
189555,Latvia,1319,24
189556,Estonia,8467,9
189557,India,35662,281
189558,Malaysia,6239,75
189559,Colombia,296,12
189560,Guatemala,1839,1
189561,Jamaica,23,1
189562,Pakistan,227,6
189563,Thailand,14802,252
189564,Trinidad and Tobago,756,21
189565,South Africa,7983,299
189566,Canada,0,0
189567,Canada,0,0
189568,Israel,454,1
189569,Lithuania,229,2
189570,Malta,15,0
189571,Nepal,2609,22
189572,Thailand,9186,98
189573,Colombia,1688,68
189574,Czech Republic,393,1
189575,Azerbaijan,2186,14
189576,Canada,0,0
189577,South Korea,22906,25
189578,Maldives,459,0
189579,Slovenia,503,6
189580,Suriname,20,0
189581,Japan,35,1
189582,Malta,10,0
189583,Uruguay,2921,57
189584,Vietnam,3461,106
189585,Bulgaria,3556,116
189586,Italy,6404,70
189587,Malta,109,0
189588,Slovenia,1081,3
189589,Turkey,26099,157
189590,Japan,77093,205
189591,South Korea,469,8
189592,Uruguay,2191,17
189593,Bangladesh,84,0
189594,Denmark,173,1
189595,Italy,1010,14
189596,Liechtenstein,2,0
189597,Liechtenstein,25,0
189598,Malta,79,0
189599,United States of America,147277,2233
189600,Austria,5628,27
189601,Croatia,1851,18
189602,Japan,283,8
189603,Norway,76,0
189604,Norway,1289,0
